,Date,Country,Cum # of Cases,Cum # of Deaths,Cum # Recovered,# of Cases,# of Deaths,# Recovered,Day,Day of Month,Month,Month Name
99,2003-04-02,China,1190.0,46.0,0.0,384.0,12.0,0.0,17,2,4,April
100,2003-04-02,Hong Kong,708.0,16.0,0.0,23.0,0.0,0.0,17,2,4,April
101,2003-04-02,Singapore,95.0,4.0,0.0,3.0,1.0,0.0,17,2,4,April
102,2003-04-02,Taiwan,13.0,0.0,0.0,0.0,0.0,0.0,17,2,4,April
103,2003-04-02,United States,72.0,0.0,0.0,3.0,0.0,0.0,17,2,4,April
104,2003-04-02,Viet Nam,64.0,4.0,0.0,0.0,0.0,0.0,17,2,4,April
105,2003-04-03,Canada,62.0,6.0,0.0,4.0,0.0,0.0,18,3,4,April
106,2003-04-03,China,1190.0,46.0,0.0,0.0,0.0,0.0,18,3,4,April
107,2003-04-03,Hong Kong,734.0,17.0,0.0,26.0,1.0,0.0,18,3,4,April
108,2003-04-03,Singapore,98.0,4.0,0.0,3.0,0.0,0.0,18,3,4,April
109,2003-04-03,Taiwan,14.0,0.0,0.0,1.0,0.0,0.0,18,3,4,April
110,2003-04-03,United States,85.0,0.0,0.0,13.0,0.0,0.0,18,3,4,April
111,2003-04-03,Viet Nam,65.0,4.0,0.0,1.0,0.0,0.0,18,3,4,April
112,2003-04-04,Canada,69.0,7.0,0.0,7.0,1.0,0.0,19,4,4,April
113,2003-04-04,China,1220.0,49.0,0.0,30.0,3.0,0.0,19,4,4,April
114,2003-04-04,Hong Kong,761.0,17.0,0.0,27.0,0.0,0.0,19,4,4,April
115,2003-04-04,Singapore,100.0,5.0,0.0,2.0,1.0,0.0,19,4,4,April
116,2003-04-04,Taiwan,15.0,0.0,0.0,1.0,0.0,0.0,19,4,4,April
117,2003-04-04,United States,100.0,0.0,0.0,15.0,0.0,0.0,19,4,4,April
118,2003-04-04,Viet Nam,65.0,4.0,0.0,0.0,0.0,0.0,19,4,4,April
119,2003-04-05,Canada,74.0,7.0,0.0,5.0,0.0,0.0,20,5,4,April
120,2003-04-05,China,1220.0,49.0,0.0,0.0,0.0,0.0,20,5,4,April
121,2003-04-05,Hong Kong,800.0,20.0,0.0,39.0,3.0,0.0,20,5,4,April
122,2003-04-05,Singapore,101.0,6.0,0.0,1.0,1.0,0.0,20,5,4,April
123,2003-04-05,Taiwan,17.0,0.0,0.0,2.0,0.0,0.0,20,5,4,April
124,2003-04-05,United States,115.0,0.0,0.0,15.0,0.0,0.0,20,5,4,April
125,2003-04-05,Viet Nam,65.0,4.0,0.0,0.0,0.0,0.0,20,5,4,April
126,2003-04-07,Canada,90.0,9.0,0.0,16.0,2.0,0.0,22,7,4,April
127,2003-04-07,China,1268.0,53.0,0.0,48.0,4.0,0.0,22,7,4,April
128,2003-04-07,Hong Kong,883.0,23.0,0.0,83.0,3.0,0.0,22,7,4,April
129,2003-04-07,Singapore,106.0,6.0,0.0,5.0,0.0,0.0,22,7,4,April
130,2003-04-07,Taiwan,21.0,0.0,0.0,4.0,0.0,0.0,22,7,4,April
131,2003-04-07,United States,141.0,0.0,0.0,26.0,0.0,0.0,22,7,4,April
132,2003-04-07,Viet Nam,68.0,4.0,0.0,3.0,0.0,0.0,22,7,4,April
133,2003-04-08,Canada,91.0,10.0,0.0,1.0,1.0,0.0,23,8,4,April
134,2003-04-08,China,1279.0,53.0,0.0,11.0,0.0,0.0,23,8,4,April
135,2003-04-08,Hong Kong,928.0,25.0,0.0,45.0,2.0,0.0,23,8,4,April
136,2003-04-08,Singapore,113.0,8.0,0.0,7.0,2.0,0.0,23,8,4,April
137,2003-04-08,Taiwan,21.0,0.0,0.0,0.0,0.0,0.0,23,8,4,April
138,2003-04-08,United States,148.0,0.0,0.0,7.0,0.0,0.0,23,8,4,April
139,2003-04-08,Viet Nam,68.0,4.0,0.0,0.0,0.0,0.0,23,8,4,April
140,2003-04-09,Canada,94.0,10.0,0.0,3.0,0.0,0.0,24,9,4,April
141,2003-04-09,China,1280.0,53.0,0.0,1.0,0.0,0.0,24,9,4,April
142,2003-04-09,Hong Kong,970.0,27.0,0.0,42.0,2.0,0.0,24,9,4,April
143,2003-04-09,Singapore,118.0,9.0,0.0,5.0,1.0,0.0,24,9,4,April
144,2003-04-09,Taiwan,21.0,0.0,0.0,0.0,0.0,0.0,24,9,4,April
145,2003-04-09,United States,149.0,0.0,0.0,1.0,0.0,0.0,24,9,4,April
146,2003-04-09,Viet Nam,68.0,4.0,0.0,0.0,0.0,0.0,24,9,4,April
147,2003-04-10,Canada,97.0,10.0,22.0,3.0,0.0,22.0,25,10,4,April
148,2003-04-10,China,1290.0,55.0,1025.0,10.0,2.0,1025.0,25,10,4,April
149,2003-04-10,Hong Kong,998.0,30.0,154.0,28.0,3.0,154.0,25,10,4,April
150,2003-04-10,Singapore,126.0,9.0,75.0,8.0,0.0,75.0,25,10,4,April
151,2003-04-10,Taiwan,21.0,0.0,5.0,0.0,0.0,5.0,25,10,4,April
152,2003-04-10,United States,154.0,0.0,0.0,5.0,0.0,0.0,25,10,4,April
153,2003-04-10,Viet Nam,68.0,4.0,43.0,0.0,0.0,43.0,25,10,4,April
154,2003-04-11,Canada,98.0,10.0,25.0,1.0,0.0,3.0,26,11,4,April
155,2003-04-11,China,1309.0,58.0,1037.0,19.0,3.0,12.0,26,11,4,April
